replyAuthorChannelId,replyAuthorDisplayName,parentAuthorChannelId,parentAuthorDisplayName,videoId,parentCommentId
UC--3U4HR-Kcu1Ec6o1kFrJQ,@Brilliant-k2k,UC8gukxoPu-9HafRFoNd8xDQ,@TheDarlowiak,AbtyFah6fPY,UgwLd7uA-nwOZDAmsV54AaABAg
UC--uW-FBcOWmhw-cMSt1KaQ,@leelunk8235,UCb33iHi75kjWYRM3X2DdtYg,@CoastfishTV,HRP1t-P0Ljw,UgyNQkkDG5x5s2087394AaABAg
UC-2A0OpBB8jKeJAPU7mcoaA,@ziggybadans,UC3hTEbHSuH0gVkEhHaJS_ow,@SoulOnTopJB,FSOnKtQa-j8,Ugx02jHnaWAgRUCvmzR4AaABAg
UC-7KFI3UoP8J19ujOEYrGRQ,@tonyrandall3146,UCzwAastinmTDEg5gq3Np_MQ,@flailingflumph,iwiAxppxGaU,UgwOokO02FY1qpb0LR94AaABAg
UC-CJEaokYHbd7RWVvwzg1uw,@rustyhands8179,UCe3MD4wwoX88L5fXNdqh_Pw,@nato1615,YJotR0AltBI,UgwuzLVvVU5GxyPGndx4AaABAg
UC-CeAKCFYy0Er12SqFF0xbQ,@therandomidiotontheinternet,UCT0YhQjWjGRf9c6RAs4-PdQ,@cinnamon5225,MzgZV6CKDL4,Ugz8JK80VxXB8R2GSU14AaABAg
UC-EB_xr4tfD2CXLtRdiH-JQ,@ivyzhu1972,UC8baFuiKp9eIFm6q3yDAeYA,@akxmr,PROvfUw9o3o,UgzzK_7JL7FQq3QLigV4AaABAg
UC-EB_xr4tfD2CXLtRdiH-JQ,@ivyzhu1972,UCUJznarwcQDolugE2brNnzg,@ThatHistoryNerdツ,PROvfUw9o3o,Ugxv9sfPBYt5OVFvPWl4AaABAg
UC-HVpCak2uTOzw2hj8ZVEvA,@NabtabWrizz,UCK1KSZIkIv0MdaHTUxMry0w,@NoTaboos,2SvmQgb5S74,UgypDL9ep5ZX89PJA-d4AaABAg
UC-J1B1Io6n5b6-vFXExqjtw,@alNange,UC0NWaUlVBNCFRWfpdU6nNtA,@Wellthereyougo-r3f,HRP1t-P0Ljw,Ugy7Ic_agC_RRPziHG54AaABAg
UC-LEfCLsnY-DZhAdwykQYIQ,@gracelim5417,UCVMEiLtNfwXWHDAl7X9YUGg,@voofongting9083,AbtyFah6fPY,Ugy4GQiMxaPON-Zl1sV4AaABAg
UC-LPPapGNuQdlqJhUSqozBg,@EvelynBissinger,UCMvs6wouUuxDmBjjVmLtQTA,@nssportstv7231,ea14oVK8XLw,Ugzd3H546A8gaMKnSJp4AaABAg
UC-N5-u5-KQ8x2Y4pdYF4vcA,@x2minecraft536,UCmYesELO6axBrCuSpf7S9DQ,@iammrbeat,ea14oVK8XLw,Ugwjr50kIsgnUaXNci14AaABAg
UC-Nkg95_7i1jHJ7Pxcpkc2g,@Qwertropolis,UCRaNAgv_sSOYj00HLVz_q2w,@ChannieSung,PROvfUw9o3o,UgwzyADtoFmBaNt6a5h4AaABAg
UC-Po7w8phylgfuqEH-b5H_g,@Evacherrypie,UC-Po7w8phylgfuqEH-b5H_g,@Evacherrypie,dVbSXe4Nc34,Ugz1pNGJVXN7I_U70MZ4AaABAg
UC-R66r1DnciHpqIKr6XMylA,@aussiedanny28au15,UCOtUEMWWGt7tVanJ0-Uk9vQ,@judysum3031,AbtyFah6fPY,Ugx1UbFtethXYmisBvx4AaABAg
UC-R66r1DnciHpqIKr6XMylA,@aussiedanny28au15,UCPeHtu92YH-qoNOyQ06CXuQ,@JubJub817,AbtyFah6fPY,UgxqzCdfcg2wiKBNyBN4AaABAg
UC-R66r1DnciHpqIKr6XMylA,@aussiedanny28au15,UCQNy88KLhFqUqTDeZobyyDw,@mikroekonomia03,AbtyFah6fPY,Ugz1WAonowHCUwTmwJx4AaABAg
