authorChannelId,authorDisplayName,in_degree,out_degree,weighted_in_degree,weighted_out_degree
UCsnSg6PJRUw3DUq06yfNjxA,@snuscaboose1942,66,1,100,1
UCY-xLdfJRDIiWVvfqd6qRJQ,@veronicacudmore3462,33,0,100,0
UCVMEiLtNfwXWHDAl7X9YUGg,@voofongting9083,26,4,87,11
UCmYesELO6axBrCuSpf7S9DQ,@iammrbeat,63,26,82,29
UCdLg90ap8Z0RQo8oX_8XBwg,@naturallyherb,45,0,70,0
UCoDHX5AHtaJWTC_u8uRlG3w,@Lachm83,53,1,69,1
UCN7u7ZYg5vuJLArNXbHx5bw,@Peter-gu9ph,20,1,59,4
UCb33iHi75kjWYRM3X2DdtYg,@CoastfishTV,42,0,59,0
UC6shcnSw3mcstzR1RKcHYow,@ScreenHackTV,27,1,54,2
UCeBRCwwXVTJpPqQ7UUYKv9w,@steph8022,27,2,48,15
UCMPcAdFYnwBXMPgaTmcaw8Q,@elikin2124,31,1,43,1
UCSbhPxIZFNYNggqWqV5a0LA,@nomnomjenny,38,0,41,0
UCRfb0BdJtoFeJb9s3_dzIAQ,@alexanderwinn2896,21,2,39,7
UC8iiRGDQ0kuwuTlIarHLO3g,@saintevo6953,24,1,37,6
UCCk88z7a-Gs6IEAO3fp-UZQ,@Taitset,32,2,37,2
UCrp1RbkS9zStcjC3l_OUa0A,@Getovayaself,28,1,36,2
UCTynmV2jiMrVSyo7fGZXGIw,@calebcaldwell1101,28,0,36,0
UC6EZKDeDu9IPC-w3vWRJoIg,@andyturbo,24,4,36,8
UCS9FuUljGF6PnIi3PPehuCA,@stephenbarbieri3269,23,0,36,0
UC97F2m-cvBvcw_tpcx3P4MA,@x_rod,27,1,34,1
UCM-a0I889dPEdlbCB1pnVqA,@LetsgoMelbourneStorm,18,1,33,6
UCK1KSZIkIv0MdaHTUxMry0w,@NoTaboos,14,7,33,12
UC71r8Ycx6EAc9fr5ni6eGyg,@Lireoec,19,1,33,2
UCxJBxaIHNvjkh38B2PW7Jew,@colmastro4373,19,0,31,0
UCMvs6wouUuxDmBjjVmLtQTA,@nssportstv7231,24,1,31,3
UCIv3QaUxHUNA3hyGDYK2SJg,@goatfiddler8384,25,1,29,1
UCN0r3ThLACkWYMzDguW8XCg,@Laura-ks1hi,17,1,28,1
UC4rIgqr6VfgOoCxhZpV32kw,@よしこさん-g4p,22,0,26,0
UCkp-PNBnspruLGedRTS2png,@astroboy4653,9,2,26,5
UCe8nCh3RIdxrZVKZJio4BrQ,@Lemonade.2026,13,0,26,0
UCP3v-ee61S_Yqeedx1lzOpw,@engchoontan8483,13,1,24,11
UCCKLsFYHhFTjraRh-EVo-ZQ,@robertspanjers7888,17,0,24,0
UC7v_Uui318Nn2WlHhba7UdA,@toguskyre,19,1,24,1
UCPWniKQtfRIykwghazngJ2Q,@OneIdeaTooMany,18,0,23,0
UCbD6AJsLipk48A2VahMzIxg,@veronicamaine3813,20,0,23,0
UCuJXOLtMKgn8lEJrWw3QBYA,@Thatcanadianguyehh,15,1,23,5
UCkP0BzW3o7x5jFO7FJYQtZw,@AdrianColley,17,0,23,0
UCWN2jPhoHoSKyZ0_g_ZiONg,@irena-talita,12,0,22,0
UCVbjmOV6BhOn0qocW33wXdQ,@wuphph,19,0,21,0
UCO5Wbxfw1zmzdcrd5vxzmxw,@Respectable_Username,10,1,21,1
UCegzk1fwZrLzYh0s5lXq_bw,@andrew.l.5493,19,0,20,0
UCmF1j1hdqoxo30ThlXOwo1g,@------837,16,0,20,0
UCWuLL3ta8ueV53lhqpkefyQ,@cherylmcinnes4434,11,0,20,0
UC1Wyw1N5Gv4IPSI7vztW1Ow,@JoshuaFagan,13,0,20,0
UC9zFqGtn9PHwKXdLzzKBqKg,@Planetrainguy,15,0,19,0
UC6POCtK5wxLbR1rMZ2Nd9AA,@samuelatienzo4627,9,1,18,7
UCL4RCYWihxLRZwQlNczMuiw,@rebeloftheeast,13,1,18,1
UCAjgm5tQ4E94-kX1FZnWa-w,@darynvoss7883,14,1,18,1
UCu3LZ8xImmQSBjFu6fp1rMA,@gospelofrye6881,12,1,17,1
