videoId,video_degree,videoTitle
ea14oVK8XLw,610,Sydney and Melbourne Compared
MzgZV6CKDL4,490,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity
HRP1t-P0Ljw,396,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia
oUqavm7KhGg,369,What Is Livability? A Field Report from Melbourne
dVbSXe4Nc34,306,Why Melbourne Feels Different Than Sydney
FSOnKtQa-j8,300,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis)
AbtyFah6fPY,291,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide"
iwiAxppxGaU,285,"The Comprehensive ""Metro"" Network of Melbourne"
y9bkNPS02O4,219,Should you live in Melbourne? | Pros and cons of living in Melbourne
PROvfUw9o3o,217,SYDNEY TRAINS VS MELBOURNE TRAINS
aUJBIrElRSk,203,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔
zFtV07Rk5i4,145,Should you live in Melbourne? Our HONEST thoughts
FJbmy95XZCk,136,9 Things You SHOULD KNOW Before Moving to Melbourne | Moving to Australia
x3tHUfo05Ds,133,Melbourne or Sydney? Which AUSTRALIAN City is Better? | ft. Origin LumbarCloud Review
JhRWS4S5rEg,131,Why Are These Melbourne Suburbs So Popular? (Would You Live Here?) | Moving to Australia
2SvmQgb5S74,98,LIVING IN SYDNEY VS MELBOURNE AUSTRALIA: Lifestyle Comparison
mFZPawD_TAk,81,How to get from Melbourne Airport to the CBD for CHEAP!! (Less than $5)
UU0e1DODX7Y,48,How To Use Public Transport in Melbourne | Using MYKI
_5P63Icg7iU,31,🚃 A guide to public transport in Melbourne (Myki) - MCIE
GMx9oXxHMXE,26,New data highlights Melbourne's most affordable suburbs as housing market flatlines | 7NEWS
YJotR0AltBI,25,Australians Are Quietly Fleeing Melbourne: Still Liveable?
5GNK1mQDnzk,17,Should you buy property in Melbourne? (KPMG 2026 prediction)
5ByeB4u-jDU,16,10 Best Places To Live In Melbourne
MnJziG3Dri0,5,Cost of Living in Melbourne 2025 How Much You REALLY Need
jquzABCA-dg,3,What I actually spend in a week living in Melbourne | Cost of Living 2026
iQBWhf2WvG8,1,Why is everyone leaving melbourne ? | Is Melbourne still worth it ? | Why everyone leaves Melbourne?
