authorChannelId,authorDisplayName,videoId,videoTitle,comment_count_on_video
UC--3U4HR-Kcu1Ec6o1kFrJQ,@Brilliant-k2k,AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",1
UC--uW-FBcOWmhw-cMSt1KaQ,@leelunk8235,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,5
UC-2A0OpBB8jKeJAPU7mcoaA,@ziggybadans,FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),1
UC-3Xy-QD4sA1_eoeXzRPljw,@MrJigarercivil,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,1
UC-3aet-JMsBxLowKAPibrmw,@Gauthstar,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",1
UC-4Jl0pcBiu-ciMfH18aWOw,@Conchobhar,FJbmy95XZCk,9 Things You SHOULD KNOW Before Moving to Melbourne | Moving to Australia,1
UC-7KFI3UoP8J19ujOEYrGRQ,@tonyrandall3146,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",1
UC-7Lf9M49TOd7I7dTIJ6kIg,@Cerberous1020,MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,1
UC-BGFxuvDzbNXkRIe_MRxTw,@ryanthompson591,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,1
UC-BocqubNAx5O4BDYa2rrmg,@geovani.santos,ea14oVK8XLw,Sydney and Melbourne Compared,1
UC-CJEaokYHbd7RWVvwzg1uw,@rustyhands8179,YJotR0AltBI,Australians Are Quietly Fleeing Melbourne: Still Liveable?,1
UC-CeAKCFYy0Er12SqFF0xbQ,@therandomidiotontheinternet,MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,1
UC-EB_xr4tfD2CXLtRdiH-JQ,@ivyzhu1972,PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS,3
UC-H8pcqO5vcdgWIwPODzoBw,@MysticJewel43,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,1
UC-HVpCak2uTOzw2hj8ZVEvA,@NabtabWrizz,2SvmQgb5S74,LIVING IN SYDNEY VS MELBOURNE AUSTRALIA: Lifestyle Comparison,1
UC-I8_re94UDJ51rbB2pceMg,@AdamTheTangelaBoi,iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",1
UC-Ilajh4CqmPcqiPb5xaDMQ,@carolinewhiteside3631,aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,1
UC-J1B1Io6n5b6-vFXExqjtw,@alNange,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,1
UC-LEfCLsnY-DZhAdwykQYIQ,@gracelim5417,AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",6
UC-LPPapGNuQdlqJhUSqozBg,@EvelynBissinger,ea14oVK8XLw,Sydney and Melbourne Compared,1
UC-M4fP6DVvDb7mX9LxfSfAQ,@MIG29-SMT,x3tHUfo05Ds,Melbourne or Sydney? Which AUSTRALIAN City is Better? | ft. Origin LumbarCloud Review,1
UC-N5-u5-KQ8x2Y4pdYF4vcA,@x2minecraft536,ea14oVK8XLw,Sydney and Melbourne Compared,1
UC-Nkg95_7i1jHJ7Pxcpkc2g,@Qwertropolis,PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS,1
UC-NsH2u5BkJ9npfSuHOOayg,@ruchiw7599,HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,1
UC-OURpgwNC3BrQ5dOSjv4Gg,@HeathWP,x3tHUfo05Ds,Melbourne or Sydney? Which AUSTRALIAN City is Better? | ft. Origin LumbarCloud Review,1
UC-Po7w8phylgfuqEH-b5H_g,@Evacherrypie,dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,2
UC-QLehECwFtMhoM8jXMDK4w,@gungangvssord5646,PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS,2
UC-QqvqdBmu4ZWVlQYF-Bcyg,@sallyveitch3865,dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,1
