videoId,videoTitle,channelTitle,total_comments,top_level_comments,reply_comments,unique_authors,avg_word_count,avg_char_len,theme_bucket,low_engagement_video
2SvmQgb5S74,LIVING IN SYDNEY VS MELBOURNE AUSTRALIA: Lifestyle Comparison,Dreaming of Down Under,195,60,135,98,27.97,161.33,other,False
5ByeB4u-jDU,10 Best Places To Live In Melbourne,UK Uncovered,16,15,1,16,13.88,78.56,other,False
5GNK1mQDnzk,Should you buy property in Melbourne? (KPMG 2026 prediction),Scott Kuru,21,14,7,17,26.71,150.71,cost_housing,False
AbtyFah6fPY,"Melbourne, Australia 🇦🇺 - The Most Livable City in the World? | Victoria, Australia Travel Guide",Leo Does Life,548,199,349,291,19.53,113.93,other,False
FJbmy95XZCk,9 Things You SHOULD KNOW Before Moving to Melbourne | Moving to Australia,Living Simply Australia,186,102,84,136,20.18,112.19,living_experience,False
FSOnKtQa-j8,Does Sydney have better public transport than Melbourne? (ft. Philip Mallis),Building Beautifully,633,200,433,300,36.63,208.86,transport_infrastructure,False
GMx9oXxHMXE,New data highlights Melbourne's most affordable suburbs as housing market flatlines | 7NEWS,7NEWS Australia,29,16,13,26,15.17,87.1,cost_housing,False
HRP1t-P0Ljw,Starving to pay rent: The brutal reality of the cost of living crisis | 60 Minutes Australia,60 Minutes Australia,688,200,488,396,26.05,144.22,cost_housing,False
JhRWS4S5rEg,Why Are These Melbourne Suburbs So Popular? (Would You Live Here?) | Moving to Australia,Living Simply Australia,171,110,61,131,24.43,137.78,cost_housing,False
MnJziG3Dri0,Cost of Living in Melbourne 2025 How Much You REALLY Need,Marcus Tan,6,3,3,5,23.5,123.0,cost_housing,True
MzgZV6CKDL4,But there’s a harbour! #australia #sydney #melbourne #sydneylife #melbournecity,Jenny Tian,753,200,553,490,17.42,98.45,other,False
PROvfUw9o3o,SYDNEY TRAINS VS MELBOURNE TRAINS,Nick and Helmi,348,150,198,217,20.67,115.42,transport_infrastructure,False
UU0e1DODX7Y,How To Use Public Transport in Melbourne | Using MYKI,Internash,60,45,15,48,17.92,92.45,transport_infrastructure,False
YJotR0AltBI,Australians Are Quietly Fleeing Melbourne: Still Liveable?,Kangaroo Insights,29,16,13,25,17.34,99.07,other,False
_5P63Icg7iU,🚃 A guide to public transport in Melbourne (Myki) - MCIE,Melbourne City Institute of Education,38,17,21,31,20.18,110.76,transport_infrastructure,False
aUJBIrElRSk,🇦🇺 What Makes MELBOURNE Better Than SYDNEY In AUSTRALIA? 🤔,@BROLADESIGNS,335,166,169,203,26.29,148.47,city_comparison,False
dVbSXe4Nc34,Why Melbourne Feels Different Than Sydney,Finding Gina Marie – Travel the World,563,200,363,306,41.71,231.68,cost_housing,False
ea14oVK8XLw,Sydney and Melbourne Compared,Mr. Beat,1168,200,968,610,24.93,142.32,city_comparison,False
iQBWhf2WvG8,Why is everyone leaving melbourne ? | Is Melbourne still worth it ? | Why everyone leaves Melbourne?,SM Secrets,1,1,0,1,6.0,37.0,liveability_general,True
iwiAxppxGaU,"The Comprehensive ""Metro"" Network of Melbourne",RMTransit,379,200,179,285,39.1,221.16,transport_infrastructure,False
jquzABCA-dg,What I actually spend in a week living in Melbourne | Cost of Living 2026,Chiara Sophie,4,2,2,3,11.25,65.25,cost_housing,True
mFZPawD_TAk,How to get from Melbourne Airport to the CBD for CHEAP!! (Less than $5),mynameciaran,109,48,61,81,24.85,131.72,transport_infrastructure,False
oUqavm7KhGg,What Is Livability? A Field Report from Melbourne,Ray Delahanty | CityNerd,538,200,338,369,41.06,231.02,liveability_general,False
x3tHUfo05Ds,Melbourne or Sydney? Which AUSTRALIAN City is Better? | ft. Origin LumbarCloud Review,Living Simply Australia,193,99,94,133,27.39,155.19,other,False
y9bkNPS02O4,Should you live in Melbourne? | Pros and cons of living in Melbourne,Sundays with Jamie,384,200,184,219,19.26,103.82,living_experience,False
zFtV07Rk5i4,Should you live in Melbourne? Our HONEST thoughts,Lee and Loz,233,114,119,145,34.0,187.29,living_experience,False
