videoTitle_short,General liveability,City comparison,Transport,Cost of living,Identity debate,Creator replies
Sydney and Melbourne Compared,0.158,0.235,0.068,0.172,0.242,0.125
But there’s a harbour! #australia #sydn...,0.14,0.344,0.063,0.105,0.222,0.126
Does Sydney have better public transpor...,0.079,0.117,0.528,0.1,0.085,0.09
Starving to pay rent: The brutal realit...,0.061,0.077,0.063,0.516,0.169,0.113
Why Melbourne Feels Different Than Sydney,0.128,0.324,0.051,0.101,0.088,0.308
What Is Livability? A Field Report from...,0.136,0.141,0.246,0.171,0.143,0.163
"Melbourne, Australia 🇦🇺 - The Most Liva...",0.227,0.144,0.06,0.135,0.261,0.173
"The Comprehensive ""Metro"" Network of Me...",0.128,0.077,0.418,0.091,0.11,0.177
Should you live in Melbourne? | Pros an...,0.147,0.243,0.058,0.102,0.135,0.315
🇦🇺 What Makes MELBOURNE Better Than SYD...,0.128,0.481,0.052,0.113,0.131,0.095
